,question_path,additional_question_paths,mark_scheme_paths,examiners_report,model_answer_link,qualification,subject,exam_board,paper,year,topic,marks_available,marks_gained
0,8fm0-01-que-20220517-01,[],"['8fm0-01-rms-20220818-01-01.jpg', '8fm0-01-rms-20220818-01-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202022%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2022,Matrices,7,{}
1,8fm0-01-que-20220517-02,[],"['8fm0-01-rms-20220818-02-01.jpg', '8fm0-01-rms-20220818-02-02.jpg', '8fm0-01-rms-20220818-02-03.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202022%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2022,Complex numbers,10,{}
2,8fm0-01-que-20220517-03,[],"['8fm0-01-rms-20220818-03-01.jpg', '8fm0-01-rms-20220818-03-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202022%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2022,Further vectors,7,{}
3,8fm0-01-que-20220517-04,[],"['8fm0-01-rms-20220818-04-01.jpg', '8fm0-01-rms-20220818-04-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202022%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2022,Further algebra and functions,9,{}
4,8fm0-01-que-20220517-05,[],"['8fm0-01-rms-20220818-05-01.jpg', '8fm0-01-rms-20220818-05-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202022%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2022,Further algebra and functions,12,{}
5,8fm0-01-que-20220517-06,[],"['8fm0-01-rms-20220818-06-01.jpg', '8fm0-01-rms-20220818-06-02.jpg', '8fm0-01-rms-20220818-06-03.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202022%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2022,Further vectors,13,{}
6,8fm0-01-que-20220517-07,[],['8fm0-01-rms-20220818-07-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202022%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2022,Proof,6,{}
7,8fm0-01-que-20220517-08,[],"['8fm0-01-rms-20220818-08-01.jpg', '8fm0-01-rms-20220818-08-02.jpg', '8fm0-01-rms-20220818-08-03.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202022%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2022,Further calculus,15,{}
8,8fm0-01-que-20230516-01,[],['8fm0-01-rms-20230824-01-01.jpg'],"The vast majority of candidates obtained, by equating positional elements, four equations connecting x, y, z and k and then solved them simultaneously to find the required values. A number of candidates did not use the value of k and thus obtained the incorrect equations $ x - 3z = 1 $ and $ z - 3y = 1 $ resulting in a loss of marks. However, many candidates scored full marks on this question and found it a good start to the paper.",https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2023,Matrices,4,"{'22 Apr 2025 19:16': [2, 0.625], '22 Apr 2025 19:36': [4, 1.4583333333333335], '23 Apr 2025 09:49': [4, 25.0]}"
9,8fm0-01-que-20230516-02,[],"['8fm0-01-rms-20230824-02-01.jpg', '8fm0-01-rms-20230824-02-02.jpg']","In part (a), much success was achieved in finding the values of a and b with the two main methods, namely forming a quadratic function using the two complex roots or the use of the sum and pair sum, being used equally by the cohort. Occasionally, Alternative 2 was seen but the inability to give the associated simultaneous equations in a and b resulted in a loss of marks. The error, in Alternative 1, in making the product of roots = +175 was seen quite often and thus produced incorrect values for a and b. 

In part (b), the majority of candidates correctly plotted the complex numbers $ -3 + 4i $ and $ -3 - 4i $. However, a significant minority, having obtained an incorrect real root, lost the 2nd B mark in this part.

In part (c), many candidates recognised the need to subtract 2 from the roots found previously but there were many candidates who incorrectly added 2 to the roots and thus lacked confidence in the transformation required in dealing with the function $ f(z + 2) $.",https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2023,Further algebra and functions,7,"{'22 Apr 2025 19:36': [7, 1.1904761904761905], '22 Apr 2025 19:37': [4, 'No time recorded']}"
